shot_id,episode_id,scene_id,shot_no,duration_s,aspect_ratio,script_ref,description,pose_start,pose_end,position_start,position_end,facing,eyeline,action_start,action_end,emotion_start,emotion_end,micro_beats,face_scale,shot_size_z,camera_move,axis_note,props_in_frame,physics_note,style_id,refs,voice_id,dialogue,prompt_zh,model,job_id,audio_duration_s,audio_file,clip_file,status,qa_identity,qa_wardrobe,qa_scene,qa_light,qa_axis,qa_spec,qa_safe_area,qa_continuity,qa_physics,qa_props,version,updated_at
EP01-SC03-SH011,EP01,SC03,11,6,16:9,「难怪他这父亲动如此大的怒火」,江小白冷汗直冒,坐,坐,画面左侧,画面左侧,四分之三侧朝向画面右,看向画面右上方,抬头,额头渗汗,紧张,恐惧,,,Z3,Static 固定,机位保持轴线右侧,无,仅有呼吸起伏，汗珠沿额角下滑,ST-001,CH-001;EN-001;ST-001,VC-001,【内心OS】难怪他动这么大的火，这事一个闹不好，就要出大事啊,近景固定机位；少年额角渗出汗珠缓缓下滑；瞳孔轻微颤动；背景虚化可见厅堂柱身；主体位于中央安全区,seedance_2_0,,5.232,project/work/audio/EP01-SC03-SH011_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC03-SH012,EP01,SC03,12,11,16:9,「功劳是朝廷的，骂名是武将的」,江景承训话，文官武将的价值冲突,站,站,画面中央偏右,画面中央偏左,四分之三侧朝向画面左,看向画面左下方,侧身踱步半步,停步,怒意,冷硬,,,Z4,Slow Tracking 缓慢横移,机位在轴线右侧横移不越轴,PR-001 长刀×1,脚步落地自然，长刀随手臂摆动不穿模,ST-001,CH-002;PR-001;EN-001;ST-001,VC-002,打起来他们不敢提刀上阵，守城时他们不敢披甲登楼，等仗打完了，便捧着圣贤书站在金銮殿上高谈阔论,中近景缓慢横移；武将侧身踱步半步后停住说话；衣摆随步伐摆动；腰部革带与护肩细节清晰；主体位于中央安全区,seedance_2_0,,10.440,project/work/audio/EP01-SC03-SH012_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC04-SH013,EP01,SC04,13,4,16:9,「急促的脚步声响起」,沈芸急匆匆赶到厅堂,行走,停步,画面右侧画外,画面右侧前景,正面朝向画面左,看向地上的人,快步进厅,停步,慌张,惊骇,,,Z7,Tracking 跟随入画,新人物从画面右侧入画保持轴线一致,无,脚步落地自然，裙摆随步伐摆动不穿模,ST-001,CH-003;EN-001;ST-001,VC-003,老爷！老爷！,全景跟随入画；素雅襦裙的中年妇人从画面右侧快步进入厅堂，神情慌张；裙摆随步伐摆动；背景厅堂纵深清晰；主体位于中央安全区,seedance_2_0,,2.664,project/work/audio/EP01-SC04-SH013_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC04-SH014,EP01,SC04,14,5,16:9,「整个人挡在了江小白身前」,沈芸挡在江小白身前,停步,跪挡,画面中央,画面中央,背对镜头侧身,看向画面右侧的江景承,张开双臂,挡定,惊骇,决绝,,,Z4,Static 固定,机位在轴线右侧保持不越轴,无,跪挡时膝盖与地面接触自然，裙摆铺开不穿透身体,ST-001,CH-001;CH-003;EN-001;ST-001,VC-003,老爷，你有什么事情冲我来！小白他还是个孩子啊！,中景固定机位；素雅襦裙妇人张开双臂挡在地上的少年身前；少年在其身后虚化可见；侧逆光勾出两人轮廓；主体位于中央安全区；禁止肢体互相穿透,seedance_2_0,,4.032,project/work/audio/EP01-SC04-SH014_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC04-SH015,EP01,SC04,15,4,16:9,「最终将长刀收起」,江景承收刀，脸色阴沉,站,站,画面中央偏右,画面中央偏右,四分之三侧朝向画面左,看向挡在前面的妇人,收刀入鞘,手停于刀柄,怒意,克制,,,Z3,Slow Push In 缓慢推进,机位保持轴线右侧,PR-001 长刀×1,刀入鞘轨迹单一，刀与鞘口对位准确不穿模,ST-001,CH-002;PR-001;EN-001;ST-001,,,近景缓慢推进；武将将长刀收入刀鞘，手停在刀柄上；面部怒意未消但动作克制；金属反光掠过刀身；主体位于中央安全区,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC04-SH016,EP01,SC04,16,4,16:9,「江小白先是一愣，随后嘴角不由抽了一下」,三人同框僵持,坐,坐,画面左侧前景,画面左侧前景,正面朝向镜头,看向画面前方,嘴角抽动,低头,无奈,自嘲,,,Z7,Static 固定,机位正面全景保持轴线一致,PR-001 长刀×1（已入鞘）,三人空间关系清晰，前后景遮挡正确不互相穿透,ST-001,CH-001;CH-002;CH-003;EN-001;ST-001,,,全景固定机位；三人同框，前景少年坐地、其侧跪着妇人、后方武将持刀而立；人物前后遮挡关系正确；暖冷对撞光线；三人均落在中央安全区内；禁止人物相互穿透,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC05-SH017,EP01,SC05,17,7,16:9,「他这个德行，就是被你惯坏的！」,江景承冷笑，怒气转向妻子,站,站,画面中央偏右,画面中央偏右,四分之三侧朝向画面左,看向画面前的妇人,冷笑,侧头,讥讽,不屑,,,Z4,Static 固定,机位保持轴线右侧,无,站姿稳定，衣袍自然下垂,ST-001,CH-002;CH-003;EN-001;ST-001,VC-002,孩子？他这个德行，就是被你惯坏的！谁人不知我江景承最讨厌的就是文官！,中近景固定；武将从右侧冷眼看向画面左侧的妇人；嘴角嘲讽弧度明显；硬光强化面部结构；主体位于中央安全区,seedance_2_0,,6.816,project/work/audio/EP01-SC05-SH017_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC05-SH018,EP01,SC05,18,5,16:9,「咱儿子，这是想给你惊喜呢！」,沈芸嘟囔反驳,跪挡,跪挡,画面中央偏左,画面中央偏左,四分之三侧朝向画面右,看向画面右侧的江景承,侧头嘟囔,抿嘴,委屈,不服,,,Z3,Static 固定,机位保持轴线右侧,无,跪姿稳定，裙摆自然铺地,ST-001,CH-003;EN-001;ST-001,VC-003,老爷你太迂腐了！咱儿子这是想给你惊喜呢！,近景固定；妇人侧头低声反驳，语气委屈中带倔强；鬓边白发与素银簪清晰；主体位于中央安全区,seedance_2_0,,4.440,project/work/audio/EP01-SC05-SH018_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC05-SH019,EP01,SC05,19,6,16:9,「等到放榜之时，但凡有一人质疑，那便是买官舞弊的铁证！」,江景承点破致命后果,站,站,画面中央偏右,画面中央偏右,正面朝向镜头略偏侧,看向镜头下方,抬手比划,手收回,冷硬,森然,,,Z2,Slow Push In 缓慢推进,机位正面保持轴线一致,无,手势幅度小，手指结构正常不融合,ST-001,CH-002;EN-001;ST-001,VC-002,等到放榜之时，但凡有一人质疑，那便是买官舞弊的铁证！,近景缓慢推进；武将抬手比划后收回；语气低沉而确定；背景完全压暗；主体位于中央安全区；禁止手指结构融合变形,seedance_2_0,,5.856,project/work/audio/EP01-SC05-SH019_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC05-SH020,EP01,SC05,20,4,16:9,「这话一出，沈芸脸色也微微变了」,沈芸意识到严重性,跪挡,跪挡,画面中央偏左,画面中央偏左,四分之三侧朝向画面右,看向画面右侧,抬头,嘴唇微张,不服,惊疑,,,Z3,Static 固定,机位保持轴线右侧,无,跪姿稳定，仅有上半身微动,ST-001,CH-003;EN-001;ST-001,VC-003,老爷，有这么严重吗？,近景固定；妇人抬头，脸色由委屈转为惊疑，嘴唇微张；眼神聚焦；主体位于中央安全区,seedance_2_0,,2.424,project/work/audio/EP01-SC05-SH020_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC06-SH021,EP01,SC06,21,6,16:9,「咱们现在就这一个儿子了……你们江家，也彻底断后吧！」,沈芸哭诉，江家断后,跪挡,跪坐,画面中央偏左,画面中央偏左,四分之三侧朝向画面右,看向画面右侧,掩面哭诉,垂手,惊疑,崩溃,,,Z5,Slow Push In 缓慢推进,机位保持轴线右侧，侧案灵位牌在画面右侧后景,PR-004 灵位牌×2,跪坐时裙摆铺地自然，身体与地面不穿插,ST-001,CH-003;PR-004;EN-001;ST-001,VC-003,他若出了事情，我就不活了！你们江家，也彻底断后吧！,中景缓慢推进；妇人跪坐哭诉；画面右侧后景为深色供桌与两块灵位牌、香炉残烛；烛光形成第二光源；主体位于中央安全区,seedance_2_0,,5.448,project/work/audio/EP01-SC06-SH021_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC06-SH022,EP01,SC06,22,4,16:9,「是主考官之一的礼部侍郎，主动找到了前身」,记忆闪回：礼部侍郎递卷,无,无,画面中央,画面中央,背对镜头,不可辨,递出卷轴,手停滞,不可辨,不可辨,,,Z3,Very Slow Push In 极缓推进,闪回镜头独立不参与轴线约束,卷轴×1,卷轴交接动作停在接触瞬间，手部不穿透卷轴,ST-001,CH-004;ST-001,,,逆光剪影闪回；宽袖官袍高冠身影背对镜头在门洞强逆光中递出一卷文书；面部完全不可辨；画面整体降饱和偏冷；主体位于中央安全区,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC06-SH023,EP01,SC06,23,7,16:9,「他们江家侯府手握整个北境兵权」,江小白推演局势,坐,坐,画面左侧,画面左侧,四分之三侧朝向画面右,看向画面右上方,沉思,抬眼,凝重,锐利,,,Z3,Slow Push In 缓慢推进,机位回到轴线右侧,无,仅有呼吸起伏与轻微前倾,ST-001,CH-001;EN-001;ST-001,VC-001,【内心OS】他们江家手握整个北境兵权，若是江家出事，谁最有可能从中受益？,近景缓慢推进；少年坐地沉思后抬眼；眼神由涣散转为锐利；侧光勾勒面部；主体位于中央安全区,seedance_2_0,,6.264,project/work/audio/EP01-SC06-SH023_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC06-SH024,EP01,SC06,24,3,16:9,「难不成是……当今圣上？」,闪回：圣上端坐剪影,无,无,画面中央,画面中央,正面剪影,不可辨,垂帘微动,剪影静止,不可辨,不可辨,,,Z4,Static 固定,闪回镜头独立不参与轴线约束,无,垂帘轻摆幅度极小，剪影轮廓稳定不抖动,ST-001,CH-005;ST-001,,,逆光剪影；垂帘后高背龙椅上的端坐身影，袍色暗金仅在边缘微光；面部完全不可辨；画面降饱和偏冷；主体位于中央安全区,seedance_2_0,,,,,todo,,,,,,,,,,,,
EP01-SC07-SH025,EP01,SC07,25,6,16:9,「江小白便忍不住打了个寒颤」,江小白打寒颤压下猜测,坐,坐,画面左侧,画面左侧,四分之三侧朝向画面右,低头看向地面,寒颤缩肩,松肩,恐惧,自我否定,,,Z3,Static 固定,机位保持轴线右侧,无,寒颤为上身快速小幅抖动，衣袍随之轻颤,ST-001,CH-001;EN-001;ST-001,VC-001,【内心OS】不对，朝堂之事本就复杂，或许背后另有推手,近景固定；少年上身快速一颤后松肩；抿嘴摇头否定自己的猜测；背景虚化保留厅堂结构；主体位于中央安全区,seedance_2_0,,5.064,project/work/audio/EP01-SC07-SH025_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC07-SH026,EP01,SC07,26,4,16:9,「他前世好歹也是文科博士，将状元做实就好！」,江小白眼神一凝，底牌浮现,坐,坐,画面左侧,画面左侧,正面朝向镜头,看向镜头略偏上,抬眼,眼神定住,自我否定,笃定,,,Z1,Slow Push In 缓慢推进,机位正面保持轴线一致,无,面部仅有眼球与嘴角细微变化，头部微抬,ST-001,CH-001;EN-001;ST-001,VC-001,【内心OS】我前世好歹也是文科博士，把这个状元做实就好！,面部特写；少年抬眼直视前方，眼神从涣散转为笃定；嘴角极轻微上扬；侧光在瞳孔形成高光；主体位于中央安全区,seedance_2_0,,3.864,project/work/audio/EP01-SC07-SH026_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC07-SH027,EP01,SC07,27,4,16:9,「为今之计，怕是只有一个办法可行了……」,江景承叹气卖关子,站,站,画面中央偏右,画面中央偏右,四分之三侧朝向画面左,看向画面左下方,长叹垂肩,摇头,无奈,迟疑,,,Z4,Static 固定,机位保持轴线右侧,PR-001 长刀×1（已入鞘）,叹气时肩背起伏自然，衣袍随之轻动,ST-001,CH-002;EN-001;ST-001,VC-002,哎，为今之计，怕是只有一个办法可行了……,中近景固定；武将侧身长叹、肩背下沉、缓缓摇头；手仍按在刀柄上；侧光在其鬓角白发上形成高光；主体位于中央安全区,seedance_2_0,,3.048,project/work/audio/EP01-SC07-SH027_v001.mp3,,todo,,,,,,,,,,,,
EP01-SC07-SH028,EP01,SC07,28,4,16:9,「哦吼，造反吗？」,江小白抬头反问，定格收尾,坐,坐,画面左侧,画面左侧,四分之三侧朝向画面右,看向画面右侧的江景承,抬头,定住,笃定,调侃,,,Z5,Rapid Push In 快速推进后定格,全集最后一次切换仍保持轴线一致,PR-001 长刀×1（已入鞘）,坐姿稳定，定格瞬间画面静止,ST-001,CH-001;CH-002;EN-001;ST-001,VC-001,哦吼，造反吗？,中景快速推进后定格；前景少年坐地抬头反问，后方武将虚化可见；少年眼神锐利带一丝调侃；画面在定格帧收尾；两人均位于中央安全区,seedance_2_0,,1.632,project/work/audio/EP01-SC07-SH028_v001.mp3,,todo,,,,,,,,,,,,
